Species Name,Year,Season,Observation Count,Data Type
Pectinatella magnifica,2003,Winter,0,Marine
Pectinatella magnifica,2003,Spring,0,Marine
Pectinatella magnifica,2003,Summer,0,Marine
Pectinatella magnifica,2003,Fall,1,Marine
Pectinatella magnifica,2004,Winter,0,Marine
Pectinatella magnifica,2004,Spring,1,Marine
Pectinatella magnifica,2004,Summer,1,Marine
Pectinatella magnifica,2004,Fall,1,Marine
Pectinatella magnifica,2005,Winter,0,Marine
Pectinatella magnifica,2005,Spring,0,Marine
Pectinatella magnifica,2005,Summer,3,Marine
Pectinatella magnifica,2005,Fall,1,Marine
Pectinatella magnifica,2006,Winter,0,Marine
Pectinatella magnifica,2006,Spring,0,Marine
Pectinatella magnifica,2006,Summer,2,Marine
Pectinatella magnifica,2006,Fall,0,Marine
Pectinatella magnifica,2007,Winter,0,Marine
Pectinatella magnifica,2007,Spring,0,Marine
Pectinatella magnifica,2007,Summer,10,Marine
Pectinatella magnifica,2007,Fall,0,Marine
Pectinatella magnifica,2008,Winter,0,Marine
Pectinatella magnifica,2008,Spring,0,Marine
Pectinatella magnifica,2008,Summer,9,Marine
Pectinatella magnifica,2008,Fall,1,Marine
Pectinatella magnifica,2009,Winter,0,Marine
Pectinatella magnifica,2009,Spring,0,Marine
Pectinatella magnifica,2009,Summer,2,Marine
Pectinatella magnifica,2009,Fall,2,Marine
Pectinatella magnifica,2010,Winter,0,Marine
Pectinatella magnifica,2010,Spring,1,Marine
Pectinatella magnifica,2010,Summer,6,Marine
Pectinatella magnifica,2010,Fall,2,Marine
Pectinatella magnifica,2011,Winter,0,Marine
Pectinatella magnifica,2011,Spring,0,Marine
Pectinatella magnifica,2011,Summer,4,Marine
Pectinatella magnifica,2011,Fall,1,Marine
Pectinatella magnifica,2012,Winter,1,Marine
Pectinatella magnifica,2012,Spring,1,Marine
Pectinatella magnifica,2012,Summer,10,Marine
Pectinatella magnifica,2012,Fall,4,Marine
Pectinatella magnifica,2013,Winter,0,Marine
Pectinatella magnifica,2013,Spring,0,Marine
Pectinatella magnifica,2013,Summer,2,Marine
Pectinatella magnifica,2013,Fall,9,Marine
Pectinatella magnifica,2014,Winter,1,Marine
Pectinatella magnifica,2014,Spring,0,Marine
Pectinatella magnifica,2014,Summer,39,Marine
Pectinatella magnifica,2014,Fall,2,Marine
Pectinatella magnifica,2015,Winter,0,Marine
Pectinatella magnifica,2015,Spring,1,Marine
Pectinatella magnifica,2015,Summer,25,Marine
Pectinatella magnifica,2015,Fall,11,Marine
Pectinatella magnifica,2016,Winter,1,Marine
Pectinatella magnifica,2016,Spring,0,Marine
Pectinatella magnifica,2016,Summer,41,Marine
Pectinatella magnifica,2016,Fall,29,Marine
Pectinatella magnifica,2017,Winter,1,Marine
Pectinatella magnifica,2017,Spring,2,Marine
Pectinatella magnifica,2017,Summer,36,Marine
Pectinatella magnifica,2017,Fall,12,Marine
Pectinatella magnifica,2018,Winter,0,Marine
Pectinatella magnifica,2018,Spring,4,Marine
Pectinatella magnifica,2018,Summer,225,Marine
Pectinatella magnifica,2018,Fall,57,Marine
Pectinatella magnifica,2019,Winter,3,Marine
Pectinatella magnifica,2019,Spring,4,Marine
Pectinatella magnifica,2019,Summer,176,Marine
Pectinatella magnifica,2019,Fall,46,Marine
Pectinatella magnifica,2020,Winter,2,Marine
Pectinatella magnifica,2020,Spring,8,Marine
Pectinatella magnifica,2020,Summer,207,Marine
Pectinatella magnifica,2020,Fall,80,Marine
Pectinatella magnifica,2021,Winter,1,Marine
Pectinatella magnifica,2021,Spring,11,Marine
Pectinatella magnifica,2021,Summer,229,Marine
Pectinatella magnifica,2021,Fall,91,Marine
Pectinatella magnifica,2022,Winter,4,Marine
Pectinatella magnifica,2022,Spring,7,Marine
Pectinatella magnifica,2022,Summer,363,Marine
Pectinatella magnifica,2022,Fall,137,Marine
Pectinatella magnifica,2023,Winter,3,Marine
Pectinatella magnifica,2023,Spring,13,Marine
Pectinatella magnifica,2023,Summer,468,Marine
Pectinatella magnifica,2023,Fall,128,Marine
Pectinatella magnifica,2024,Winter,6,Marine
Pectinatella magnifica,2024,Spring,15,Marine
Pectinatella magnifica,2024,Summer,530,Marine
Pectinatella magnifica,2024,Fall,198,Marine
"Plumatella casmiana Oka, 1907",2019,Winter,1,Marine
"Plumatella casmiana Oka, 1907",2019,Spring,0,Marine
"Plumatella casmiana Oka, 1907",2019,Summer,0,Marine
"Plumatella casmiana Oka, 1907",2019,Fall,0,Marine
"Plumatella casmiana Oka, 1907",2022,Winter,0,Marine
"Plumatella casmiana Oka, 1907",2022,Spring,1,Marine
"Plumatella casmiana Oka, 1907",2022,Summer,1,Marine
"Plumatella casmiana Oka, 1907",2022,Fall,1,Marine
"Plumatella emarginata Allmann, 1844",1975,Winter,7,Marine
"Plumatella emarginata Allmann, 1844",1975,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",1975,Summer,0,Marine
"Plumatella emarginata Allmann, 1844",1975,Fall,0,Marine
"Plumatella emarginata Allmann, 1844",1994,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",1994,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",1994,Summer,1,Marine
"Plumatella emarginata Allmann, 1844",1994,Fall,0,Marine
"Plumatella emarginata Allmann, 1844",2001,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2001,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2001,Summer,1,Marine
"Plumatella emarginata Allmann, 1844",2001,Fall,0,Marine
"Plumatella emarginata Allmann, 1844",2002,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2002,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2002,Summer,2,Marine
"Plumatella emarginata Allmann, 1844",2002,Fall,0,Marine
"Plumatella emarginata Allmann, 1844",2003,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2003,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2003,Summer,0,Marine
"Plumatella emarginata Allmann, 1844",2003,Fall,1,Marine
"Plumatella emarginata Allmann, 1844",2004,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2004,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2004,Summer,1,Marine
"Plumatella emarginata Allmann, 1844",2004,Fall,0,Marine
"Plumatella emarginata Allmann, 1844",2008,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2008,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2008,Summer,0,Marine
"Plumatella emarginata Allmann, 1844",2008,Fall,1,Marine
"Plumatella emarginata Allmann, 1844",2017,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2017,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2017,Summer,0,Marine
"Plumatella emarginata Allmann, 1844",2017,Fall,1,Marine
"Plumatella emarginata Allmann, 1844",2018,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2018,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2018,Summer,1,Marine
"Plumatella emarginata Allmann, 1844",2018,Fall,0,Marine
"Plumatella emarginata Allmann, 1844",2021,Winter,0,Marine
"Plumatella emarginata Allmann, 1844",2021,Spring,0,Marine
"Plumatella emarginata Allmann, 1844",2021,Summer,0,Marine
"Plumatella emarginata Allmann, 1844",2021,Fall,1,Marine
